Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7632,1305,1592,874,681,202,393
2,Norway,7594,1456,1582,861,686,286,340
3,Denmark,7555,1351,1590,868,683,284,408
4,Iceland,7495,1343,1644,914,677,353,138
5,Switzerland,7487,1420,1549,927,660,256,357
6,Netherlands,7441,1361,1488,878,638,333,295
7,Canada,7328,1330,1532,896,653,321,291
8,New Zealand,7324,1268,1601,876,669,365,389
9,Sweden,7314,1355,1501,913,659,285,383
10,Australia,7272,1340,1573,910,647,361,302
11,United Kingdom,7190,1244,1433,888,464,262,82
12,Austria,7139,1341,1504,891,617,242,224
13,Costa Rica,7072,1010,1459,817,632,143,101
14,Ireland,6977,1448,1583,876,614,307,306
15,Germany,6965,1340,1474,861,586,273,280
16,Belgium,6927,1324,1483,894,583,188,240
17,Luxembourg,6910,1576,1520,896,632,196,321
18,United States,6886,1398,1471,819,547,291,133
19,Israel,6814,1301,1559,883,533,354,272
20,United Arab Emirates,6774,2096,776,670,284,186,N/A
21,Czech Republic,6711,1233,1489,854,543,64,34
22,Malta,6627,1270,1525,884,645,376,142
23,France,6489,1293,1466,908,520,98,176
24,Mexico,6488,1038,1252,761,479,69,95
25,Chile,6476,1131,1331,808,431,197,61
26,Taiwan,6441,1365,1436,857,418,151,78
27,Panama,6430,1112,1438,759,597,125,63
28,Brazil,6419,986,1474,675,493,110,88
29,Argentina,6388,1073,1468,744,570,62,54
30,Guatemala,6382,781,1268,608,604,179,71
31,Uruguay,6379,1093,1459,771,625,130,155
32,Qatar,6374,1649,1303,748,654,256,171
33,Saudi Arabia,6371,1379,1331,633,509,98,127
34,Singapore,6343,1529,1451,1008,631,261,457
35,Malaysia,6322,1161,1258,669,356,311,59
36,Spain,6310,1251,1538,965,449,142,74
37,Colombia,6260,960,1439,635,531,99,39
38,Trinidad & Tobago,6192,1223,1492,564,575,171,19
39,Slovakia,6173,1210,1537,776,354,118,14
40,El Salvador,6167,806,1231,639,461,65,82
41,Nicaragua,6141,668,1319,700,527,208,128
42,Poland,6123,1176,1448,781,546,108,64
43,Bahrain,6105,1338,1366,698,594,243,123
44,Uzbekistan,6096,719,1584,605,724,328,259
45,Kuwait,6083,1474,1301,675,554,167,106
46,Thailand,6072,1016,1417,707,637,364,29
47,Italy,6000,1264,1501,946,281,137,28
48,Ecuador,5973,889,1330,736,556,114,120
